표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7098120009","098120","(주)마이크로컨텍솔루션","마이크로컨텍솔","Micro Contact Solution Co.,Ltd.","2008/09/23","KOSDAQ","주권","중견기업부","보통주","500","8312766"
"KR7009520008","009520","(주)포스코엠텍","포스코엠텍","POSCO M-TECH CO.,LTD.","1997/11/10","KOSDAQ GLOBAL","주권","우량기업부","보통주","500","41642703"
"KR7058820002","058820","CMG제약","CMG제약","CMG Pharmaceutical Co., Ltd.","2001/08/31","KOSDAQ","주권","중견기업부","보통주","500","147842183"
"KR7050120005","050120","ES큐브","ES큐브","ES CUBE","2002/04/25","KOSDAQ","주권","중견기업부","보통주","5000","13564086"
"KR7024850000","024850","HLB이노베이션","HLB이노베이션","HLB innoVation","2001/01/18","KOSDAQ","주권","중견기업부","보통주","500","157382650"
"KR7024120008","024120","KB오토시스","KB오토시스","KB Autosys Co.,Ltd","1994/12/07","KOSDAQ","주권","중견기업부","보통주","500","11500000"
"KR7044180008","044180","KD","KD","KD Corporation","2000/11/16","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","26717799"
"KR7086960002","086960","MDS테크","MDS테크","MDS Tech","2006/09/26","KOSDAQ","주권","중견기업부","보통주","200","102692420"
"KR7063570006","063570","NICE인프라","NICE인프라","NICE Infra","2006/07/14","KOSDAQ","주권","우량기업부","보통주","500","34147728"
"KR7079940003","079940","가비아","가비아","GABIA, Inc.","2005/10/19","KOSDAQ","주권","우량기업부","보통주","500","13420684"
"KR7078890001","078890","가온그룹","가온그룹","KAON Group","2005/07/12","KOSDAQ","주권","중견기업부","보통주","500","18424943"
"KR7399720002","399720","가온칩스","가온칩스","GAONCHIPS CO., LTD.","2022/05/20","KOSDAQ","주권","우량기업부","보통주","500","11600420"
"KR7036620003","036620","감성코퍼레이션","감성코퍼레이션","GAMSUNG Corporation","2000/01/11","KOSDAQ","주권","우량기업부","보통주","500","90503771"
"KR7198440000","198440","강동씨앤엘","강동씨앤엘","KANGDONG C&L","2014/08/13","KOSDAQ","주권","중견기업부","보통주","100","60931896"
"KR7217730001","217730","강스템바이오텍","강스템바이오텍","KANGSTEM BIOTECH CO., LTD.","2015/12/21","KOSDAQ","주권","기술성장기업부","보통주","500","94054149"
"KR7114190002","114190","강원에너지","강원에너지","KANGWON ENERGY","2009/11/20","KOSDAQ","주권","우량기업부","보통주","500","26123038"
"KR7094480001","094480","갤럭시아머니트리","갤럭시아머니트리","GalaxiaMoneytree Co.,Ltd.","2007/07/20","KOSDAQ","주권","중견기업부","보통주","500","39229838"
"KR7039240007","039240","경남스틸","경남스틸","Kyeong Nam Steel Co., LTD","2000/03/07","KOSDAQ","주권","우량기업부","보통주","100","26979604"
"KR7053950002","053950","경남제약","경남제약","KYUNG NAM PHARM.CO.,LTD.","2001/11/06","KOSDAQ","주권","중견기업부","보통주","100","78147358"
"KR7011040003","011040","경동제약","경동제약","KyungdongPharm","1992/12/18","KOSDAQ","주권","중견기업부","보통주","500","30768766"
"KR7024910002","024910","경창산업","경창산업","KyungchangIndustrial","1994/12/29","KOSDAQ","주권","우량기업부","보통주","500","35819005"
"KR7049720006","049720","고려신용정보","고려신용정보","KORYO CREDIT INFORMATION CO., LTD.","2002/01/31","KOSDAQ","주권","우량기업부","보통주","500","14300000"
"KR7014570006","014570","고려제약","고려제약","KOREAN DRUG CO., LTD.","2000/12/07","KOSDAQ","주권","우량기업부","보통주","500","11000000"
"KR7348150004","348150","고바이오랩","고바이오랩","KoBioLabs, Inc","2020/11/18","KOSDAQ","주권","기술성장기업부","보통주","500","19418889"
"KR8344390008","950190","고스트스튜디오","고스트스튜디오","GHOST STUDIO","2020/08/18","KOSDAQ","주식예탁증권","외국기업(소속부없음)","보통주","무액면","13017059"
"KR7098460009","098460","고영테크놀러지","고영","Koh Young Technology Inc.","2008/06/03","KOSDAQ","주권","우량기업부","보통주","100","68654755"
"KR7035290006","035290","골드앤에스","골드앤에스","Gold&S","1999/12/07","KOSDAQ","주권","중견기업부","보통주","500","23838240"
"KR7215000001","215000","골프존","골프존","GOLFZON Co., Ltd.","2015/04/03","KOSDAQ GLOBAL","주권","우량기업부","보통주","500","6275415"
"KR7121440002","121440","골프존홀딩스","골프존홀딩스","GOLFZON HOLDINGS","2011/05/20","KOSDAQ","주권","우량기업부","보통주","500","42836818"
"KR7366030005","366030","공구우먼","공구우먼","09women Co., Ltd.","2022/03/23","KOSDAQ","주권","우량기업부","보통주","100","22653850"
"KR7029480001","029480","광무","광무","Kwangmu","1996/08/27","KOSDAQ","주권","중견기업부","보통주","500","59719132"
"KR7026910000","026910","광진실업","광진실업","KwangjinInd","1996/01/03","KOSDAQ","주권","중견기업부","보통주","500","6405405"
"KR7465320000","465320","교보15호기업인수목적","교보15호스팩","Kyobo 15 Special Purpose Acquisition Company","2023/12/05","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","3810000"
"KR7482520004","482520","교보16호기업인수목적","교보16호스팩","Kyobo 16 Special Purpose Acquisition Company","2024/08/13","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","6100000"
"KR7489210005","489210","교보17호기업인수목적","교보17호스팩","Kyobo 17 Special Purpose Acquisition Company","2024/11/21","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","5180000"
"KR70041B0002","0041B0","교보18호기업인수목적","교보18호스팩","Kyobo 18 Special Purpose Acquisition Company","2025/08/14","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","5040000"
"KR70098T0004","0098T0","교보19호기업인수목적","교보19호스팩","Kyobo 19 Special Purpose Acquisition Company","2025/12/12","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","5400000"
"KR70132G0007","0132G0","교보20호기업인수목적","교보20호스팩","Kyobo 20 Special Purpose Acquisition Company","2026/04/02","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","5970000"
"KR7053270005","053270","구영테크","구영테크","GUYOUNG TECHNOLOGY","2002/02/07","KOSDAQ","주권","우량기업부","보통주","500","27410405"
"KR7066620006","066620","국보디자인","국보디자인","KUKBO DESIGN","2002/09/05","KOSDAQ","주권","우량기업부","보통주","500","7500000"
"KR7043650001","043650","국순당","국순당","KOOK SOON DANG CO., LTD.","2000/08/24","KOSDAQ","주권","중견기업부","보통주","500","17858304"
"KR7006050009","006050","국영지앤엠","국영지앤엠","KUK YOUNG G&M","1994/10/07","KOSDAQ","주권","중견기업부","보통주","500","34895243"
"KR7060480001","060480","국일신동","국일신동","KUKIL METAL CO., LTD","2014/12/29","KOSDAQ","주권","중견기업부","보통주","500","11090000"
"KR7078130002","078130","국일제지","국일제지","KUK-IL PAPER MFG CO.,LTD","2004/10/22","KOSDAQ","주권","중견기업부","보통주","100","1127405871"
"KR7307750000","307750","국전약품","국전약품","KUKJEON PHARMACEUTICAL Co.,Ltd","2018/12/19","KOSDAQ","주권","우량기업부","보통주","100","53986288"
"KR7035080001","035080","그래디언트","그래디언트","Gradiant","1999/07/05","KOSDAQ","주권","중견기업부","보통주","2500","11431284"
"KR7318060001","318060","그래피","그래피","Graphy Inc.","2025/08/25","KOSDAQ","주권","기술성장기업부","보통주","500","11127777"
"HK0000307485","900290","그레이트리치과기유한공사","GRT","Great Rich Technologies Limited","2016/10/25","KOSDAQ","외국주권","외국기업(소속부없음)","보통주","무액면","80850000"
"KR7453450009","453450","그리드위즈","그리드위즈","Gridwiz Co.,Ltd","2024/06/14","KOSDAQ","주권","벤처기업부","보통주","200","7942750"
"KR7204020002","204020","그리티","그리티","GRITEE, Inc.","2018/07/23","KOSDAQ","주권","우량기업부","보통주","500","19450832"
"KR70015G0009","0015G0","그린광학","그린광학","Green Optics Co.,Ltd.","2025/11/17","KOSDAQ","주권","기술성장기업부","보통주","500","11702541"
"KR7402490007","402490","그린리소스","그린리소스","Green Resource Co.,Ltd","2023/11/24","KOSDAQ","주권","기술성장기업부","보통주","500","16565488"
"KR7114450000","114450","그린생명과학","그린생명과학","GREEN LIFESCIENCE","2009/12/22","KOSDAQ","주권","중견기업부","보통주","500","20000000"
"KR7186230009","186230","그린플러스","그린플러스","GREEN PLUS Co., Ltd","2019/08/07","KOSDAQ","주권","벤처기업부","보통주","500","10920188"
"KR7083450007","083450","글로벌스탠다드테크놀로지","GST","Global Standard Technology Co., Ltd.","2006/02/01","KOSDAQ","주권","우량기업부","보통주","500","18430000"
"KYG3931T1076","900070","글로벌에스엠테크리미티드","글로벌에스엠","Global SM Tech Limited","2009/12/23","KOSDAQ","외국주권","외국기업(소속부없음)","보통주","0.5","53743968"
"KR7204620009","204620","글로벌텍스프리","글로벌텍스프리","Global Tax Free Co., Ltd.","2014/11/19","KOSDAQ","주권","중견기업부","보통주","500","70283330"
"KR7019660000","019660","글로본","글로본","GLOBON CO., LTD.","1992/06/04","KOSDAQ","주권","중견기업부","보통주","500","13944333"
"KR7053260006","053260","금강철강","금강철강","KEUM KANG STEEL CO., LTD","2002/01/04","KOSDAQ","주권","우량기업부","보통주","500","18720000"
"KR7282720002","282720","금양그린파워","금양그린파워","KUMYANG GREEN POWER CO., Ltd.","2023/03/13","KOSDAQ","주권","우량기업부","보통주","500","12119500"
"KR7036190007","036190","금화피에스시","금화피에스시","GEUMHWA PSC CO.,LTD.","2000/12/26","KOSDAQ","주권","우량기업부","보통주","500","6000000"
"KR7049080005","049080","기가레인","기가레인","GIGALANE Co., Ltd.","2013/12/19","KOSDAQ","주권","벤처기업부","보통주","500","84883347"
"KR7420770000","420770","기가비스","기가비스","GigaVis Co., Ltd.","2023/05/24","KOSDAQ","주권","벤처기업부","보통주","200","12675758"
"KR7035460005","035460","기산텔레콤","기산텔레콤","Kisan Telecom CO.,Ltd","1999/11/18","KOSDAQ","주권","벤처기업부","보통주","500","14577340"
"KR7407400001","407400","꿈비","꿈비","GGUMBI Inc.","2023/02/09","KOSDAQ","주권","벤처기업부","보통주","100","14634534"
"KR7187790001","187790","나노","나노","NANO. Co., Ltd.","2014/05/08","KOSDAQ","주권","벤처기업부","보통주","500","30840830"
"KR7121600001","121600","나노신소재","나노신소재","Advanced Nano Products Co.,Ltd","2011/02/09","KOSDAQ","주권","우량기업부","보통주","500","12211191"
"KR7286750005","286750","나노실리칸첨단소재","나노실리칸첨단소재","NanoSilikhan Advanced Materials","2019/08/19","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","32028857"
"KR7247660004","247660","나노씨엠에스","나노씨엠에스","NANOCMS CO.,LTD","2021/03/09","KOSDAQ","주권","기술성장기업부","보통주","500","4343920"
"KR7039860002","039860","나노엔텍","나노엔텍","NanoenTek,Inc.","2000/08/16","KOSDAQ","주권","중견기업부","보통주","500","38093053"
"KR7091970004","091970","나노캠텍","나노캠텍","Nano Chem Tech Inc.","2007/01/30","KOSDAQ","주권","중견기업부","보통주","500","37673903"
"KR7417010006","417010","나노팀","나노팀","NanoTIM Co. Ltd.","2023/03/03","KOSDAQ","주권","벤처기업부","보통주","500","20172728"
"KR7405920000","405920","나라셀라","나라셀라","NARA CELLAR Co.,Ltd.","2023/06/02","KOSDAQ","주권","중견기업부","보통주","5000","12878076"
"KR7478340003","478340","나라스페이스테크놀로지","나라스페이스테크놀로지","Nara Space Technology Inc.","2025/12/17","KOSDAQ","주권","기술성장기업부","보통주","100","11533591"
"KR7051490001","051490","나라엠앤디","나라엠앤디","NARA MOLD & DIE CO., LTD.","2001/06/12","KOSDAQ","주권","우량기업부","보통주","500","14200000"
"KR7137080008","137080","나래나노텍","나래나노텍","NARAE NANOTECH CORPORATION","2022/02/08","KOSDAQ","주권","벤처기업부","보통주","500","11059422"
"KR7190510008","190510","나무가","나무가","Namuga Co.,Ltd","2015/11/12","KOSDAQ","주권","우량기업부","보통주","500","14085317"
"KR7242040004","242040","나무기술","나무기술","NAMU TECH CO.,LTD.","2016/09/07","KOSDAQ","주권","기술성장기업부","보통주","100","34606264"
"KR7459510004","459510","나우로보틱스","나우로보틱스","NAUROBOTICS Co., Ltd.","2025/05/08","KOSDAQ","주권","기술성장기업부","보통주","500","12969382"
"KR7293580007","293580","나우아이비캐피탈","나우IB","NAU IB Capital","2018/10/04","KOSDAQ","주권","벤처기업부","보통주","500","94929950"
"KR7138610001","138610","나이벡","나이벡","NIBEC CO., LTD.","2011/07/13","KOSDAQ","주권","기술성장기업부","보통주","500","11365904"
"KR7130580004","130580","나이스디앤비","나이스디앤비","NICE D&B CO., LTD.","2011/12/22","KOSDAQ","주권","우량기업부","보통주","500","15400000"
"KR7036800001","036800","나이스정보통신","나이스정보통신","NICE INFORMATION&TELECOMMUNICATION INC.","2000/05/03","KOSDAQ","주권","우량기업부","보통주","500","10000000"
"KR7267320000","267320","나인테크","나인테크","Naintech. CO.,LTD.","2017/06/22","KOSDAQ","주권","벤처기업부","보통주","100","57415295"
"KR7111710000","111710","남화산업","남화산업","Namhwa Industrial Co.,Ltd","2018/11/29","KOSDAQ","주권","중견기업부","보통주","200","20588000"
"KR7091590000","091590","남화토건","남화토건","Nam Hwa Construction Company, Limited","2012/01/31","KOSDAQ","주권","우량기업부","보통주","500","11740000"
"KR7168330009","168330","내츄럴엔도텍","내츄럴엔도텍","Naturalendo Tech Co., Ltd","2013/10/31","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","31754900"
"KR7094860004","094860","네오리진","네오리진","NEORIGIN","2007/04/16","KOSDAQ","주권","중견기업부","보통주","500","25110014"
"KR7253590004","253590","네오셈","네오셈","Neosem Inc.","2018/04/04","KOSDAQ","주권","우량기업부","보통주","100","43869164"
"KR7212560007","212560","네오오토","네오오토","NEOOTO Co., Ltd.","2015/11/18","KOSDAQ","주권","우량기업부","보통주","500","11812241"
"KR7095660007","095660","네오위즈","네오위즈","NEOWIZ","2007/07/02","KOSDAQ","주권","우량기업부","보통주","500","21856816"
"KR7042420000","042420","네오위즈홀딩스","네오위즈홀딩스","NEOWIZ HOLDINDS Corporation","2000/06/27","KOSDAQ","주권","중견기업부","보통주","500","8142283"
"KR8840140006","950220","네오이뮨텍","네오이뮨텍","NeoImmuneTech, Inc.","2021/03/16","KOSDAQ","주식예탁증권","기술성장기업부","보통주","0","167638405"
"KR7311390009","311390","네오크레마","네오크레마","Neo Cremar Co., Ltd.","2019/08/22","KOSDAQ","주권","벤처기업부","보통주","500","12653789"
"KR7085910008","085910","네오티스","네오티스","NEO TECHNICAL SYSTEM CO., LTD","2007/10/01","KOSDAQ","주권","중견기업부","보통주","500","13934818"
"KR7092730001","092730","네오팜","네오팜","Neopharm CO., LTD.","2007/01/30","KOSDAQ","주권","우량기업부","보통주","500","16027989"
"KR7290660000","290660","네오펙트","네오펙트","NEOFECT Co.,Ltd","2018/11/28","KOSDAQ","주권","기술성장기업부","보통주","500","77858882"
"KR7153460001","153460","네이블","네이블","Nable","2012/07/19","KOSDAQ","주권","중견기업부","보통주","500","6530014"
"KR7007390008","007390","네이처셀","네이처셀","NATURECELL CO.,LTD.","1992/11/30","KOSDAQ","주권","중견기업부","보통주","500","64435056"
"KR7033640004","033640","네패스","네패스","NEPES Corporation","1999/12/14","KOSDAQ","주권","중견기업부","보통주","500","23059202"
"KR7330860008","330860","네패스아크","네패스아크","Nepes Ark Corporation","2020/11/17","KOSDAQ","주권","중견기업부","보통주","500","12184045"
"KR7351320007","351320","넥사다이내믹스","넥사다이내믹스","Nexa Dynamics","2020/06/22","KOSDAQ","주권","중견기업부","보통주","100","29698642"
"KR7089140008","089140","넥스턴앤롤코리아","넥스턴앤롤코리아","NEXTURN&ROLLKOREA","2006/11/01","KOSDAQ","주권","벤처기업부","보통주","2500","15316234"
"KR7389650003","389650","넥스트바이오메디컬","넥스트바이오메디컬","NEXTBIOMEDICAL CO., LTD.","2024/08/20","KOSDAQ","주권","기술성장기업부","보통주","500","8203886"
"KR7137940003","137940","넥스트아이","넥스트아이","NextEye Co., Ltd.","2011/06/14","KOSDAQ","주권","중견기업부","보통주","100","85368992"
"KR7160550000","160550","넥스트엔터테인먼트월드","NEW","Next Entertainment World Co., Ltd.","2014/12/23","KOSDAQ","주권","중견기업부","보통주","500","27906106"
"KR7396270001","396270","넥스트칩","넥스트칩","NEXTCHIP Co., Ltd.","2022/07/01","KOSDAQ","주권","벤처기업부","보통주","500","32887431"
"KR7348210006","348210","넥스틴","넥스틴","NEXTIN Inc.","2020/10/08","KOSDAQ GLOBAL","주권","우량기업부","보통주","500","10477005"
"KR7225570001","225570","넥슨게임즈","넥슨게임즈","NEXON Games","2015/09/25","KOSDAQ","주권","우량기업부","보통주","500","65860174"
"KR7205500002","205500","넥써쓰","넥써쓰","NEXUS","2014/11/12","KOSDAQ","주권","중견기업부","보통주","500","64112099"
"KR7217270008","217270","넵튠","넵튠","Neptune Company","2015/06/18","KOSDAQ","주권","중견기업부","보통주","500","46735643"
"KR7104620000","104620","노랑풍선","노랑풍선","Yellow Balloon Tour Co., Ltd.","2019/01/30","KOSDAQ","주권","중견기업부","보통주","500","16810552"
"KR7473980001","473980","노머스","노머스","Knowmerce Corp.","2024/11/12","KOSDAQ","주권","기술성장기업부","보통주","500","11057322"
"KR7194700001","194700","노바렉스","노바렉스","NOVAREX Co., Ltd.","2018/11/14","KOSDAQ","주권","우량기업부","보통주","500","18754848"
"KR7285490009","285490","노바텍","노바텍","NOVATECH","2018/11/02","KOSDAQ","주권","벤처기업부","보통주","500","10575831"
"KR7145170007","145170","노브랜드","노브랜드","Nobland International Inc.","2024/05/23","KOSDAQ","주권","중견기업부","보통주","500","16908405"
"KR7106520000","106520","노블엠앤비","노블엠앤비","Noble M&B","2012/07/13","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","1000","38695952"
"KR7376930004","376930","노을","노을","Noul Co., Ltd.","2022/03/03","KOSDAQ","주권","기술성장기업부","보통주","500","51291323"
"KR7486990005","486990","노타","노타","Nota Inc.","2025/11/03","KOSDAQ","주권","기술성장기업부","보통주","100","21346230"
"KR7142280007","142280","녹십자엠에스","녹십자엠에스","Green Cross Medical Science Corporation","2014/12/17","KOSDAQ","주권","중견기업부","보통주","500","21741926"
"KR7234690006","234690","녹십자웰빙","녹십자웰빙","GREEN CROSS WellBeing Corporation","2019/10/14","KOSDAQ","주권","우량기업부","보통주","500","17752276"
"KR7154030001","154030","농업회사법인 아시아종묘","아시아종묘","ASIA SEED Co.,Ltd.","2018/02/12","KOSDAQ","주권","벤처기업부","보통주","500","12061867"
"KR7054050000","054050","농업회사법인 엔에이치농우바이오","농우바이오","NH NONGWOOBIO","2002/04/02","KOSDAQ","주권","우량기업부","보통주","500","16030561"
"KR7403490006","403490","농업회사법인 우듬지팜","우듬지팜","WooDeumGee Farm Co., Ltd","2023/09/19","KOSDAQ","주권","벤처기업부","보통주","100","45932464"
"KR7069140002","069140","누리플랜","누리플랜","Nuriplan Co., Ltd","2010/10/26","KOSDAQ","주권","중견기업부","보통주","500","15095804"
"KR7040160004","040160","누리플렉스","누리플렉스","NuriFlex","2000/08/29","KOSDAQ","주권","중견기업부","보통주","500","12055535"
"KR7332290006","332290","누보","누보","NOUSBO","2019/10/11","KOSDAQ","주권","벤처기업부","보통주","100","39904404"
"KR7348340001","348340","뉴로메카","뉴로메카","Neuromeka Co., Ltd.","2022/11/04","KOSDAQ","주권","기술성장기업부","보통주","500","12362151"
"KR7380550004","380550","뉴로핏","뉴로핏","NEUROPHET Inc.","2025/07/25","KOSDAQ","주권","기술성장기업부","보통주","1000","12091835"
"KR7060260007","060260","뉴보텍","뉴보텍","NUVOTEC Co., Ltd","2002/02/05","KOSDAQ","주권","벤처기업부","보통주","500","13512009"
"KR7463020008","463020","뉴엔에이아이","뉴엔AI","NEWEN AI","2025/07/04","KOSDAQ","주권","기술성장기업부","보통주","500","8879200"
"KR7123840001","123840","뉴온","뉴온","NUON","2010/10/05","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","1000","63654307"
"KR7012340006","012340","뉴인텍","뉴인텍","NUIN TEK CO., LTD","1997/02/12","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","56501562"
"KR7462310004","462310","뉴키즈온","뉴키즈온","New Kids On Co.,Ltd.","2025/07/09","KOSDAQ","주권","중견기업부","보통주","100","8185121"
"KR7270870009","270870","뉴트리","뉴트리","Newtree Co., Ltd.","2018/12/13","KOSDAQ","주권","우량기업부","보통주","500","9200224"
"KR7144960002","144960","뉴파워프라즈마","뉴파워프라즈마","New Power Plasma Co.,Ltd","2016/11/30","KOSDAQ","주권","우량기업부","보통주","100","43692624"
"KR7085670008","085670","뉴프렉스","뉴프렉스","NEWFLEX TECHNOLOGY Co., LTD.","2006/01/17","KOSDAQ","주권","우량기업부","보통주","500","24450761"
"KR7064260003","064260","다날","다날","DANAL CO., LTD.","2004/07/23","KOSDAQ","주권","중견기업부","보통주","500","75645457"
"KR7340360007","340360","다보링크","다보링크","DAVOLINK","2019/12/19","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","100","51012909"
"KR7039560008","039560","다산네트웍스","다산네트웍스","DASAN Networks, Inc.","2000/06/22","KOSDAQ","주권","중견기업부","보통주","500","40935762"
"KR7208860007","208860","다산디엠씨","다산디엠씨","DASAN DMC","2016/07/28","KOSDAQ","주권","중견기업부","보통주","500","33949973"
"KR7154040000","154040","다산솔루에타","다산솔루에타","Dasan Solueta","2013/12/27","KOSDAQ","주권","중견기업부","보통주","500","17950094"
"KR7032190001","032190","다우데이타","다우데이타","DAOU DATA CORP.","1999/12/21","KOSDAQ","주권","우량기업부","보통주","500","38300000"
"KR7323350009","323350","다원넥스뷰","다원넥스뷰","DAWON NEXVIEW CO.,LTD.","2024/06/11","KOSDAQ","주권","기술성장기업부","보통주","100","8010772"
"KR7068240001","068240","다원시스","다원시스","DAWONSYS Co., LTD","2010/09/14","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","38163437"
"KR7464580000","464580","닷밀","닷밀","dotmill Inc.","2024/11/13","KOSDAQ","주권","기술성장기업부","보통주","500","18406089"
"KR7020400008","020400","대동금속","대동금속","DaedongMetal","1993/07/30","KOSDAQ","주권","중견기업부","보통주","1000","3189166"
"KR7008830002","008830","대동기어","대동기어","DaedongGear","1991/05/17","KOSDAQ","주권","중견기업부","보통주","500","8987520"
"KR7048470009","048470","대동스틸","대동스틸","DAE DONG STEEL CO., LTD.","2002/01/10","KOSDAQ","주권","중견기업부","보통주","500","9650000"
"KR7004780003","004780","대륙제관","대륙제관","DaeryukCan","1994/12/29","KOSDAQ","주권","우량기업부","보통주","500","15903199"
"KR7017650003","017650","대림제지","대림제지","DaelimPaper","1994/11/07","KOSDAQ","주권","우량기업부","보통주","500","8785000"
"KR7389260001","389260","대명에너지","대명에너지","Dae Myoung Energy Co. Ltd.","2022/05/16","KOSDAQ","주권","우량기업부","보통주","100","17916325"
"KR7317850006","317850","대모엔지니어링","대모","DAEMO Engineering Co.,Ltd.","2019/07/24","KOSDAQ","주권","벤처기업부","보통주","500","8324420"
"KR7290670009","290670","대보마그네틱","대보마그네틱","DAEBO MAGNETIC CO.,LTD.","2018/11/06","KOSDAQ","주권","중견기업부","보통주","500","7857660"
"KR7078140001","078140","대봉엘에스","대봉엘에스","Daebongls co., Ltd","2005/12/23","KOSDAQ","주권","우량기업부","보통주","500","11086579"
"KR7065150005","065150","대산에프앤비","대산F&B","Daesan F&B Inc.","2007/07/18","KOSDAQ","주권","관리종목(소속부없음)","보통주","100","159382405"
"KR7036480002","036480","대성미생물연구소","대성미생물","Daesung Microbiological Labs. Co., Ltd.","2000/04/04","KOSDAQ","주권","중견기업부","보통주","500","3800000"
"KR7027830009","027830","대성창업투자","대성창투","Daesung Private Equity, Inc.","1999/11/30","KOSDAQ","주권","벤처기업부","보통주","500","54000000"
"KR7104040001","104040","대성파인텍","대성파인텍","Daesung Fine Tech. Co., Ltd","2009/01/23","KOSDAQ","주권","벤처기업부","보통주","100","134067826"
"KR7129920005","129920","대성하이텍","대성하이텍","Daesung Hi-Tech Co., Ltd.","2022/08/22","KOSDAQ","주권","벤처기업부","보통주","100","13715053"
"KR7457630002","457630","대신밸런스제16호기업인수목적","대신밸런스제16호스팩","Daishin Balance No.16 Special Purpose Acquisition Company","2023/09/04","KOSDAQ","주권","관리종목(소속부없음)","보통주","100","7310000"
"KR7471050005","471050","대신밸런스제17호기업인수목적","대신밸런스제17호스팩","Daishin Balance No.17 Special Purpose Acquisition Company","2024/01/24","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","6060000"
"KR7482690005","482690","대신밸런스제19호기업인수목적","대신밸런스제19호스팩","Daishin Balance No.19 Special Purpose Acquisition Company","2024/11/20","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","5615000"
"KR7020180006","020180","대신정보통신","대신정보통신","DaishinInformation","1995/10/06","KOSDAQ","주권","중견기업부","보통주","500","38428915"
"KR7045390002","045390","대아티아이","대아티아이","DAEA TI CO., LTD.","2001/05/17","KOSDAQ","주권","우량기업부","보통주","100","70473377"
"KR7108380007","108380","대양전기공업","대양전기공업","DAYANG ELECTRIC CO.,LTD","2011/07/08","KOSDAQ","주권","우량기업부","보통주","500","9567333"
"KR7007680002","007680","대원","대원","DAEWON CO., LTD.","2017/12/01","KOSDAQ","주권","중견기업부","보통주","500","13446474"
"KR7048910004","048910","대원미디어","대원미디어","DAEWON MEDIA CO.,LTD.","2001/07/31","KOSDAQ","주권","우량기업부","보통주","500","12578946"
"KR7005710009","005710","대원산업","대원산업","Daewonsanup","1993/06/21","KOSDAQ","주권","우량기업부","보통주","500","20037600"
"KR7120240007","120240","대정화금","대정화금","Daejung Chemicals & Metals Co., Ltd.","2010/12/20","KOSDAQ","주권","우량기업부","보통주","500","7190391"
"KR7003310000","003310","대주산업","대주산업","Daejoo Inc.","1992/08/01","KOSDAQ","주권","우량기업부","보통주","500","35392350"
"KR7078600004","078600","대주전자재료","대주전자재료","Daejoo Electronic Materials Co., Ltd.","2004/12/10","KOSDAQ","주권","우량기업부","보통주","500","15528125"
"KR7393970009","393970","대진첨단소재","대진첨단소재","DAEJIN ADVANCED MATERIALS Inc.","2025/03/06","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","17850820"
"KR7096350004","096350","대창솔루션","대창솔루션","DAECHANG SOLUTION CO.,LTD.","2007/12/17","KOSDAQ","주권","벤처기업부","보통주","500","36854762"
"KR7140520008","140520","대창스틸","대창스틸","DaeChang Steel CO., LTD.","2014/12/05","KOSDAQ","주권","우량기업부","보통주","500","21109243"
"KR7131220006","131220","대한과학","대한과학","DAIHAN SCIENTIFIC CO., Ltd","2011/10/11","KOSDAQ","주권","벤처기업부","보통주","500","7454490"
"KR7010170009","010170","대한광통신","대한광통신","TAIHAN Fiberoptics Co.,LTD","1994/11/07","KOSDAQ","주권","중견기업부","보통주","500","155485660"
"KR7054670005","054670","대한뉴팜","대한뉴팜","Daehan Nupharm","2002/02/26","KOSDAQ","주권","우량기업부","보통주","500","14354920"
"KR7023910003","023910","대한약품공업","대한약품","DaihanPharmaceutical","1994/11/23","KOSDAQ","주권","우량기업부","보통주","500","6000000"
"KR7021040001","021040","대호특수강","대호특수강","dhSteel","1996/08/27","KOSDAQ","주권","중견기업부","보통주","2500","21704774"
"KR7021041009","021045","대호특수강1우선주","대호특수강우","dhSteel(1P)","2001/09/13","KOSDAQ","주권","중견기업부","신형우선주","2500","848492"
"KR7067080002","067080","대화제약","대화제약","DAE HWA PHARM CO., LTD","2003/02/14","KOSDAQ","주권","중견기업부","보통주","500","18616650"
"KR7043090000","043090","더 테크놀로지","더테크놀로지","The Technology","2001/10/11","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","12418275"
